[16:34:43.178] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2394027, egress-ts=2480982, deq-depth = 63, deq-bytes=94500
[16:34:43.179] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2395078, egress-ts=2481953, deq-depth = 63, deq-bytes=94500
[16:34:43.180] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2395098, egress-ts=2482926, deq-depth = 63, deq-bytes=94500
[16:34:43.182] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2396818, egress-ts=2484710, deq-depth = 63, deq-bytes=94500
[16:34:43.183] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2396839, egress-ts=2485836, deq-depth = 63, deq-bytes=94500
[16:34:43.184] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2397812, egress-ts=2487091, deq-depth = 63, deq-bytes=94500
[16:34:43.186] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2397832, egress-ts=2488261, deq-depth = 63, deq-bytes=94500
[16:34:43.186] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2398691, egress-ts=2489581, deq-depth = 63, deq-bytes=94500
[16:34:43.188] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2398710, egress-ts=2490264, deq-depth = 62, deq-bytes=93000
[16:34:43.189] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2400757, egress-ts=2492253, deq-depth = 63, deq-bytes=94500
[16:34:43.190] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2400775, egress-ts=2493422, deq-depth = 63, deq-bytes=94500
[16:34:43.191] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2401795, egress-ts=2494163, deq-depth = 62, deq-bytes=93000
[16:34:43.192] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2401810, egress-ts=2495402, deq-depth = 63, deq-bytes=94500
[16:34:43.193] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2403738, egress-ts=2496447, deq-depth = 63, deq-bytes=94500
[16:34:43.194] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2403754, egress-ts=2496893, deq-depth = 62, deq-bytes=93000
[16:34:43.195] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2404872, egress-ts=2497881, deq-depth = 63, deq-bytes=94500
[16:34:43.195] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2404889, egress-ts=2498574, deq-depth = 63, deq-bytes=94500
[16:34:43.196] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2405762, egress-ts=2499697, deq-depth = 63, deq-bytes=94500
[16:34:43.197] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2405782, egress-ts=2500288, deq-depth = 63, deq-bytes=94500
[16:34:43.198] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2409840, egress-ts=2500822, deq-depth = 62, deq-bytes=93000
[16:34:43.199] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2413084, egress-ts=2501907, deq-depth = 61, deq-bytes=91500
